epidemiological_week,date,order_for_place,last_available_confirmed,new_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
202043,2020-10-23,242,309507,1430,2511.16571,13395,19,0.0433,12325232,-29,18,0,-17,-17,11
202043,2020-10-22,241,308077,847,2499.5635,13376,18,0.0434,12325232,-29,19,-14,-21,-20,11
202043,2020-10-21,240,307230,802,2492.69142,13358,21,0.0435,12325232,-31,12,-21,-22,-20,12
202043,2020-10-20,239,306428,888,2486.18444,13337,43,0.0435,12325232,-35,6,-35,-26,-23,13
202043,2020-10-19,238,305540,69,2478.97971,13294,4,0.0435,12325232,-37,-4,-38,-26,-23,13
202043,2020-10-18,237,305471,92,2478.41988,13290,7,0.0435,12325232,-33,8,-31,-16,3,7
202042,2020-10-17,236,305379,2081,2477.67344,13283,65,0.0435,12325232,-25,18,-39,-9,3,7
202042,2020-10-15,234,303298,1075,2460.78938,13218,22,0.0436,12325232,-33,14,-36,-24,-23,13
202042,2020-10-14,233,302223,1014,2452.06743,13196,54,0.0437,12325232,-34,9,-21,-23,-22,12
202042,2020-10-13,232,301209,188,2443.84041,13142,8,0.0436,12325232,-34,7,-25,-24,-23,10
202042,2020-10-12,231,301021,116,2442.31508,13134,6,0.0436,12325232,-43,-8,-12,-54,-68,17
202042,2020-10-11,230,300905,418,2441.37392,13128,4,0.0436,12325232,-29,12,-23,-16,5,5
202041,2020-10-10,229,300487,1210,2437.98251,13124,30,0.0437,12325232,-20,25,-30,-5,2,4
202041,2020-10-09,228,299277,872,2428.16525,13094,38,0.0438,12325232,-38,7,-33,-25,-22,13
202041,2020-10-08,227,298405,1812,2421.09033,13056,94,0.0438,12325232,-30,19,-25,-24,-22,11
202041,2020-10-06,225,296593,1359,2406.38878,12962,71,0.0437,12325232,-32,12,-25,-24,-23,11
202040,2020-10-03,222,295234,1099,2395.36262,12891,51,0.0437,12325232,-25,21,-35,-9,1,6
202040,2020-10-02,221,294135,925,2386.44595,12840,43,0.0437,12325232,-32,17,-6,-20,-19,11
202040,2020-10-01,220,293210,1143,2378.94102,12797,67,0.0436,12325232,-32,21,-15,-27,-22,12
202040,2020-09-30,219,292067,1228,2369.66736,12730,64,0.0436,12325232,-35,12,-20,-28,-24,13
202040,2020-09-29,218,290839,1373,2359.70406,12666,61,0.0435,12325232,-38,5,-32,-31,-24,13
202040,2020-09-28,217,289466,158,2348.56431,12605,3,0.0435,12325232,-41,-1,-36,-33,-25,14
202040,2020-09-27,216,289308,123,2347.28239,12602,9,0.0436,12325232,-38,4,-25,-24,1,6
202039,2020-09-26,215,289185,1104,2346.28444,12593,46,0.0435,12325232,-29,15,-30,-16,1,6
202039,2020-09-25,214,288081,1219,2337.3272,12547,43,0.0436,12325232,-34,14,-11,-26,-20,13
202039,2020-09-24,213,286862,1387,2327.43692,12504,26,0.0436,12325232,-35,10,-23,-30,-24,14
202039,2020-09-23,212,285475,1223,2316.18358,12478,50,0.0437,12325232,-38,5,-32,-32,-25,15
202039,2020-09-22,211,284252,1526,2306.26085,12428,44,0.0437,12325232,-40,-1,-49,-36,-28,16
202039,2020-09-21,210,282726,228,2293.87974,12384,4,0.0438,12325232,-37,-1,-42,-34,-27,15
202039,2020-09-20,209,282498,281,2292.02988,12380,4,0.0438,12325232,-39,1,-42,-32,-3,8
202038,2020-09-19,208,282217,1443,2289.75,12376,68,0.0439,12325232,-24,16,-22,-16,-1,7
202038,2020-09-18,207,280774,1581,2278.04231,12308,42,0.0438,12325232,-32,11,-8,-28,-22,13
202038,2020-09-17,206,279193,1510,2265.21497,12266,53,0.0439,12325232,-32,10,-13,-31,-25,13
202038,2020-09-16,205,277683,1442,2252.96368,12213,85,0.044,12325232,-34,4,-14,-31,-25,14
202038,2020-09-15,204,276241,1501,2241.2641,12128,60,0.0439,12325232,-34,6,-30,-33,-25,14
202038,2020-09-14,203,274740,273,2229.08583,12068,11,0.0439,12325232,-34,2,-22,-32,-25,13
202038,2020-09-13,202,274467,294,2226.87086,12057,9,0.0439,12325232,-34,6,-18,-27,-1,6
202037,2020-09-12,201,274173,1316,2224.48551,12048,45,0.0439,12325232,-25,16,-21,-17,-2,7
202037,2020-09-11,200,272857,1352,2213.80823,12003,70,0.044,12325232,-31,14,1,-26,-23,13
202037,2020-09-10,199,271505,1505,2202.83886,11933,77,0.044,12325232,-29,17,-7,-29,-26,12
202037,2020-09-09,198,270000,1653,2190.62814,11856,116,0.0439,12325232,-33,10,-16,-31,-27,13
202037,2020-09-08,197,268347,580,2177.21662,11740,9,0.0437,12325232,-34,8,-27,-32,-28,11
202037,2020-09-06,195,267767,290,2172.51083,11731,14,0.0438,12325232,-34,9,-14,-27,-2,5
202036,2020-09-05,194,267477,1245,2170.15793,11717,51,0.0438,12325232,-23,23,-23,-16,-4,5
202036,2020-09-04,193,266232,1166,2160.0567,11666,55,0.0438,12325232,-30,17,-3,-27,-24,12
202036,2020-09-03,192,265066,2496,2150.59644,11611,57,0.0438,12325232,-30,16,-8,-31,-27,13
202036,2020-09-02,191,262570,1579,2130.34529,11554,76,0.044,12325232,-33,9,-17,-33,-27,13
202036,2020-09-01,190,260991,3042,2117.53418,11478,70,0.044,12325232,-35,7,-27,-35,-28,14
202036,2020-08-31,189,257949,171,2092.8531,11408,8,0.0442,12325232,-36,3,-26,-35,-28,13
202036,2020-08-30,188,257778,1267,2091.4657,11400,56,0.0442,12325232,-37,4,-13,-30,0,6
202035,2020-08-28,186,256511,2365,2081.18598,11344,66,0.0442,12325232,-34,11,1,-30,-24,13
202035,2020-08-27,185,254146,2083,2061.9977,11278,63,0.0444,12325232,-34,9,-10,-34,-27,14
202035,2020-08-26,184,252063,1892,2045.09741,11215,74,0.0445,12325232,-35,5,-19,-34,-27,15
202035,2020-08-25,183,250171,2441,2029.74678,11141,110,0.0445,12325232,-35,4,-31,-36,-29,15
202035,2020-08-24,182,247730,327,2009.94188,11031,8,0.0445,12325232,-35,3,-28,-35,-28,15
202035,2020-08-23,181,247403,911,2007.28879,11023,20,0.0446,12325232,-41,1,-38,-37,-4,11
202034,2020-08-22,180,246492,3903,1999.89745,11003,67,0.0446,12325232,-33,12,-52,-30,-9,12
202034,2020-08-21,179,242589,825,1968.2307,10936,73,0.0451,12325232,-46,-2,-44,-41,-30,18
202034,2020-08-20,178,241764,1649,1961.53711,10863,102,0.0449,12325232,-39,5,-41,-38,-31,16
202034,2020-08-19,177,240115,2181,1948.15805,10761,61,0.0448,12325232,-39,1,-32,-37,-29,16
202034,2020-08-18,176,237934,1771,1930.46265,10700,75,0.045,12325232,-43,-4,-47,-40,-31,16
202034,2020-08-17,175,236163,297,1916.09375,10625,20,0.045,12325232,-41,-3,-43,-39,-31,16
202034,2020-08-16,174,235866,347,1913.68406,10605,13,0.045,12325232,-48,-6,-52,-42,-9,10
202033,2020-08-15,173,235519,1532,1910.8687,10592,29,0.045,12325232,-33,11,-37,-25,-7,9
202033,2020-08-14,172,233987,2784,1898.43891,10563,110,0.0451,12325232,-36,10,-6,-31,-27,15
202033,2020-08-13,171,231203,7063,1875.8511,10453,142,0.0452,12325232,-36,9,-18,-35,-30,15
202033,2020-08-12,170,224140,6896,1818.54589,10311,90,0.046,12325232,-37,6,-18,-36,-30,15
202033,2020-08-11,169,217244,2915,1762.59562,10221,114,0.047,12325232,-36,5,-22,-36,-31,15
202033,2020-08-10,168,214329,235,1738.94495,10107,8,0.0472,12325232,-36,5,-23,-36,-31,15
202033,2020-08-09,167,214094,587,1737.0383,10099,14,0.0472,12325232,-42,13,-28,-30,7,6
202032,2020-08-08,166,213507,2038,1732.27571,10085,73,0.0472,12325232,-26,26,-22,-19,-4,8
202032,2020-08-07,165,211469,1910,1715.74052,10012,103,0.0473,12325232,-31,20,-5,-30,-27,14
202032,2020-08-06,164,209559,3457,1700.24386,9909,103,0.0473,12325232,-32,18,-14,-34,-31,15
202032,2020-08-05,163,206102,2823,1672.1957,9806,104,0.0476,12325232,-37,9,-21,-37,-31,16
202032,2020-08-04,162,203279,2574,1649.29147,9702,58,0.0477,12325232,-37,5,-26,-38,-32,16
202032,2020-08-03,161,200705,261,1628.40748,9644,10,0.0481,12325232,-38,4,-26,-38,-31,16
202032,2020-08-02,160,200444,770,1626.28987,9634,15,0.0481,12325232,-43,6,-23,-35,-2,9
202031,2020-08-01,159,199674,2114,1620.04253,9619,70,0.0482,12325232,-32,19,-31,-26,-7,10
202031,2020-07-31,158,197560,3876,1602.89072,9549,79,0.0483,12325232,-39,12,-20,-36,-29,16
202031,2020-07-30,157,193684,4857,1571.44304,9470,74,0.0489,12325232,-42,5,-39,-41,-34,17
202031,2020-07-29,156,188827,3119,1532.03607,9396,78,0.0498,12325232,-44,-2,-39,-41,-33,18
202031,2020-07-28,155,185708,3681,1506.73026,9318,77,0.0502,12325232,-41,1,-24,-40,-33,16
202031,2020-07-27,154,182027,2250,1476.8647,9241,19,0.0508,12325232,-41,0,-24,-39,-32,16
202031,2020-07-26,153,179777,662,1458.60946,9222,17,0.0513,12325232,-49,-2,-35,-38,-4,10
202030,2020-07-25,152,179115,2925,1453.23837,9205,49,0.0514,12325232,-37,11,-23,-26,-7,10
202030,2020-07-24,151,176190,2480,1429.50656,9156,58,0.052,12325232,-41,7,-10,-35,-29,16
202030,2020-07-23,150,173710,2591,1409.38524,9098,73,0.0524,12325232,-40,7,-19,-38,-32,17
202030,2020-07-22,149,171119,3318,1388.36332,9025,105,0.0527,12325232,-42,2,-22,-39,-32,17
202030,2020-07-21,148,167801,1453,1361.44293,8920,121,0.0532,12325232,-41,2,-27,-40,-32,17
202030,2020-07-20,147,166348,275,1349.65411,8799,21,0.0529,12325232,-41,2,-27,-40,-31,16
202030,2020-07-19,146,166073,979,1347.42291,8778,8,0.0529,12325232,-47,0,-24,-37,-2,10
202029,2020-07-18,145,165094,1470,1339.47986,8770,74,0.0531,12325232,-37,10,-32,-29,-7,11
202029,2020-07-17,144,163624,1382,1327.5531,8696,111,0.0531,12325232,-42,5,-23,-38,-31,17
202029,2020-07-16,143,162242,1916,1316.34033,8585,134,0.0529,12325232,-41,6,-33,-41,-34,17
202029,2020-07-15,142,160326,1524,1300.79499,8451,115,0.0527,12325232,-44,-1,-41,-43,-34,18
202029,2020-07-14,141,158802,4789,1288.43011,8336,105,0.0525,12325232,-45,-4,-42,-43,-36,18
202029,2020-07-13,140,154013,1207,1249.57486,8231,19,0.0534,12325232,-43,-3,-29,-41,-34,16
202029,2020-07-12,139,152806,1441,1239.78194,8212,36,0.0537,12325232,-49,0,-27,-37,-2,9
202028,2020-07-11,138,151365,1934,1228.09047,8176,87,0.054,12325232,-38,12,-33,-28,-8,10
202028,2020-07-10,137,149431,2692,1212.39909,8089,125,0.0541,12325232,-42,10,-24,-37,-32,16
202028,2020-07-09,136,146739,2166,1190.55771,7964,100,0.0543,12325232,-41,8,-33,-41,-37,17
202028,2020-07-08,135,144573,2071,1172.98401,7864,121,0.0544,12325232,-42,6,-30,-40,-34,16
202028,2020-07-07,134,142502,2271,1156.18108,7743,109,0.0543,12325232,-41,7,-36,-41,-36,17
202028,2020-07-06,133,140231,360,1137.75546,7634,13,0.0544,12325232,-43,1,-40,-42,-35,17
202028,2020-07-05,132,139871,2109,1134.83462,7621,24,0.0545,12325232,-53,2,-35,-41,-3,11
202027,2020-07-04,131,137762,688,1117.72338,7597,118,0.0551,12325232,-41,17,-36,-31,-10,11
202027,2020-07-03,130,137074,2090,1112.14134,7479,109,0.0546,12325232,-47,8,-32,-41,-33,19
202027,2020-07-02,129,134984,5656,1095.18425,7370,112,0.0546,12325232,-46,9,-36,-43,-36,18
202027,2020-07-01,128,129328,2209,1049.29465,7258,96,0.0561,12325232,-49,2,-40,-45,-37,19
202027,2020-06-30,127,127119,2107,1031.37207,7162,136,0.0563,12325232,-48,2,-42,-45,-36,18
202027,2020-06-29,126,125012,907,1014.27705,7026,23,0.0562,12325232,-50,-7,-44,-46,-36,19
202027,2020-06-28,125,124105,1346,1006.91817,7003,21,0.0564,12325232,-61,-10,-57,-49,-10,14
202026,2020-06-27,124,122759,1596,995.99748,6982,102,0.0569,12325232,-59,-9,-64,-49,-21,17
202026,2020-06-26,123,121163,3852,983.04843,6880,86,0.0568,12325232,-55,-4,-42,-46,-36,20
202026,2020-06-25,122,117311,4050,951.79547,6794,119,0.0579,12325232,-52,-2,-34,-45,-38,19
202026,2020-06-24,121,113261,3047,918.93605,6675,92,0.0589,12325232,-52,-8,-37,-46,-37,20
202026,2020-06-23,120,110214,2483,894.21441,6583,179,0.0597,12325232,-52,-9,-41,-47,-39,19
202026,2020-06-22,119,107731,1191,874.06874,6404,17,0.0594,12325232,-52,-11,-42,-47,-38,19
202026,2020-06-21,118,106540,949,864.40564,6387,16,0.0599,12325232,-58,-8,-37,-44,-4,12
202025,2020-06-20,117,105591,184,856.70598,6371,116,0.0603,12325232,-49,4,-37,-36,-12,12
202025,2020-06-19,116,105407,6877,855.21311,6255,158,0.0593,12325232,-52,-2,-30,-44,-35,19
202025,2020-06-18,115,98530,398,799.417,6097,138,0.0619,12325232,-52,-4,-36,-47,-39,20
202025,2020-06-17,114,98132,456,796.18785,5959,140,0.0607,12325232,-53,-8,-39,-47,-39,20
202025,2020-06-16,113,97676,4228,792.48813,5819,167,0.0596,12325232,-53,-10,-45,-49,-39,20
202025,2020-06-15,112,93448,2250,758.18451,5652,29,0.0605,12325232,-53,-11,-47,-48,-38,19
202025,2020-06-14,111,91198,3173,739.92928,5623,24,0.0617,12325232,-64,-17,-62,-51,-13,14
202024,2020-06-13,110,88025,2403,714.18534,5599,119,0.0636,12325232,-52,-1,-40,-39,-15,13
202024,2020-06-12,109,85622,2546,694.68875,5480,123,0.064,12325232,-49,7,-30,-45,-38,20
202024,2020-06-11,108,83076,2619,674.03194,5357,125,0.0645,12325232,-50,1,-37,-50,-45,21
202024,2020-06-10,107,80457,2431,652.78284,5232,159,0.065,12325232,-55,-4,-40,-48,-40,20
202024,2020-06-09,106,78026,2327,633.05908,5073,136,0.065,12325232,-58,-8,-50,-51,-41,21
202024,2020-06-08,105,75699,903,614.17911,4937,17,0.0652,12325232,-57,-6,-46,-49,-40,20
202024,2020-06-07,104,74796,935,606.85267,4920,19,0.0658,12325232,-63,-5,-45,-46,-11,13
202023,2020-06-06,103,73861,2408,599.26661,4901,96,0.0664,12325232,-56,8,-50,-40,-19,14
202023,2020-06-05,102,71453,2106,579.72945,4805,130,0.0672,12325232,-57,3,-40,-47,-39,21
202023,2020-06-04,101,69347,2570,562.64255,4675,111,0.0674,12325232,-60,-5,-46,-52,-43,22
202023,2020-06-03,100,66777,2334,541.79102,4564,121,0.0683,12325232,-61,-8,-49,-52,-43,22
202023,2020-06-02,99,64443,3317,522.85426,4443,139,0.0689,12325232,-63,-15,-59,-55,-44,22
202023,2020-06-01,98,61126,995,495.94198,4304,24,0.0704,12325232,-60,-10,-48,-52,-42,19
202023,2020-05-31,97,60131,1512,487.86911,4280,41,0.0712,12325232,-65,-10,-45,-49,-12,12
202022,2020-05-30,96,58619,2878,475.6016,4239,123,0.0723,12325232,-59,2,-48,-44,-21,14
202022,2020-05-29,95,55741,3022,452.25112,4116,158,0.0738,12325232,-60,-3,-39,-51,-41,21
202022,2020-05-28,94,52719,3455,427.73231,3958,132,0.0751,12325232,-61,-7,-46,-54,-45,22
202022,2020-05-27,93,49264,1710,399.70039,3826,135,0.0777,12325232,-62,-11,-47,-54,-45,22
202022,2020-05-26,92,47554,1350,385.82641,3691,136,0.0776,12325232,-62,-13,-52,-55,-44,21
202022,2020-05-25,91,46204,677,374.87327,3555,21,0.0769,12325232,-69,-21,-59,-66,-62,27
202022,2020-05-24,90,45527,640,369.38047,3534,43,0.0776,12325232,-70,-20,-61,-56,-23,16
202021,2020-05-23,89,44887,1914,364.18787,3491,139,0.0778,12325232,-66,-11,-62,-52,-30,18
202021,2020-05-22,88,42973,1522,348.65875,3352,114,0.078,12325232,-64,-9,-44,-55,-49,24
202021,2020-05-21,87,41451,1985,336.3101,3238,103,0.0781,12325232,-67,-12,-51,-63,-59,26
202021,2020-05-20,86,39466,1826,320.20493,3135,106,0.0794,12325232,-67,-16,-51,-63,-57,26
202021,2020-05-19,85,37640,1452,305.38979,3029,173,0.0805,12325232,-61,-13,-51,-56,-46,22
202021,2020-05-18,84,36188,257,293.60908,2856,21,0.0789,12325232,-63,-19,-52,-56,-46,22
202021,2020-05-17,83,35931,502,291.52392,2835,43,0.0789,12325232,-69,-20,-54,-53,-22,16
202020,2020-05-16,82,35429,1437,287.45098,2792,118,0.0788,12325232,-65,-10,-55,-48,-30,18
202020,2020-05-15,81,33992,2119,275.79197,2674,78,0.0787,12325232,-66,-14,-51,-54,-47,25
202020,2020-05-14,80,31873,1471,258.59959,2596,102,0.0814,12325232,-66,-18,-55,-56,-49,24
202020,2020-05-13,79,30402,1720,246.66473,2494,89,0.082,12325232,-66,-20,-52,-55,-49,24
202020,2020-05-12,78,28682,911,232.70962,2405,124,0.0839,12325232,-66,-19,-54,-55,-49,23
202020,2020-05-11,77,27771,464,225.31827,2281,15,0.0821,12325232,-68,-22,-55,-55,-48,23
202020,2020-05-10,76,27307,520,221.55364,2266,43,0.083,12325232,-64,-5,-57,-49,-15,13
202019,2020-05-09,75,26787,1420,217.33465,2223,113,0.083,12325232,-59,9,-52,-45,-30,16
202019,2020-05-08,74,25367,1094,205.81357,2110,124,0.0832,12325232,-62,1,-45,-52,-45,23
202019,2020-05-07,73,24273,1086,196.93747,1986,76,0.0818,12325232,-63,-3,-54,-56,-49,23
202019,2020-05-06,72,23187,2047,188.12628,1910,109,0.0824,12325232,-65,-14,-53,-56,-48,23
202019,2020-05-05,71,21140,1067,171.51807,1801,118,0.0852,12325232,-64,-13,-51,-57,-48,22
202019,2020-05-04,70,20073,251,162.86103,1683,10,0.0838,12325232,-65,-17,-52,-56,-47,21
202019,2020-05-03,69,19822,328,160.82456,1673,12,0.0844,12325232,-70,-22,-57,-56,-28,15
202018,2020-05-02,68,19494,407,158.16335,1661,54,0.0852,12325232,-67,-11,-60,-55,-37,18
202018,2020-05-01,67,19087,938,154.86118,1607,85,0.0842,12325232,-76,-25,-55,-72,-73,31
202018,2020-04-30,66,18149,1511,147.25078,1522,83,0.0839,12325232,-60,0,-43,-54,-48,20
202018,2020-04-29,65,16638,1241,134.99137,1439,118,0.0865,12325232,-65,-17,-48,-57,-48,23
202018,2020-04-28,64,15397,1408,124.9226,1321,149,0.0858,12325232,-65,-20,-52,-58,-49,23
202018,2020-04-27,63,13989,476,113.49888,1172,58,0.0838,12325232,-66,-22,-53,-58,-48,22
202018,2020-04-26,62,13513,415,109.63688,1114,15,0.0824,12325232,-70,-23,-54,-55,-29,15
202017,2020-04-25,61,13098,1298,106.2698,1099,89,0.0839,12325232,-66,-13,-52,-52,-34,17
202017,2020-04-24,60,11800,575,95.73856,1010,98,0.0856,12325232,-66,-17,-46,-56,-48,24
202017,2020-04-23,59,11225,534,91.07334,912,134,0.0812,12325232,-66,-14,-49,-58,-50,23
202017,2020-04-22,58,10691,349,86.74076,778,25,0.0728,12325232,-66,-18,-52,-58,-50,23
202017,2020-04-21,57,10342,527,83.90917,753,38,0.0728,12325232,-76,-35,-61,-75,-76,30
202017,2020-04-20,56,9815,147,79.63339,715,15,0.0728,12325232,-65,-16,-55,-61,-58,24
202017,2020-04-19,55,9668,240,78.44071,700,14,0.0724,12325232,-71,-23,-55,-56,-32,16
202016,2020-04-18,54,9428,684,76.49349,686,43,0.0728,12325232,-67,-13,-58,-54,-37,18
202016,2020-04-17,53,8744,836,70.9439,643,40,0.0735,12325232,-68,-16,-50,-58,-51,25
202016,2020-04-16,52,7908,144,64.16106,603,45,0.0763,12325232,-67,-16,-51,-60,-53,24
202016,2020-04-15,51,7764,1059,62.99273,558,46,0.0719,12325232,-68,-20,-54,-60,-53,25
202016,2020-04-14,50,6705,287,54.4006,512,56,0.0764,12325232,-69,-25,-60,-62,-54,25
202016,2020-04-13,49,6418,66,52.07204,456,11,0.0711,12325232,-69,-24,-57,-60,-53,23
202016,2020-04-12,48,6352,221,51.53656,445,23,0.0701,12325232,-73,-24,-63,-57,-33,15
202015,2020-04-11,47,6131,149,49.74349,422,13,0.0688,12325232,-68,-10,-63,-56,-44,19
202015,2020-04-10,46,5982,505,48.53458,409,25,0.0684,12325232,-80,-29,-63,-75,-78,33
202015,2020-04-09,45,5477,530,44.4373,384,45,0.0701,12325232,-62,12,-48,-56,-53,22
202015,2020-04-08,44,4947,689,40.13718,339,43,0.0685,12325232,-67,-8,-57,-59,-54,24
202015,2020-04-07,43,4258,504,34.54702,296,52,0.0695,12325232,-68,-14,-60,-60,-55,24
202015,2020-04-06,42,3754,142,30.45784,244,24,0.065,12325232,-69,-18,-55,-59,-53,24
202015,2020-04-05,41,3612,116,29.30574,220,8,0.0609,12325232,-73,-26,-57,-57,-36,16
202014,2020-04-04,40,3496,294,28.36458,212,26,0.0606,12325232,-71,-13,-58,-56,-43,19
202014,2020-04-03,39,3202,387,25.97923,186,22,0.0581,12325232,-72,-18,-54,-61,-55,27
202014,2020-04-02,38,2815,397,22.83933,164,20,0.0583,12325232,-69,-19,-54,-63,-58,26
202014,2020-04-01,37,2418,533,19.61829,144,23,0.0596,12325232,-68,-20,-55,-63,-57,26
202014,2020-03-31,36,1885,652,15.29383,121,18,0.0642,12325232,-69,-23,-61,-64,-58,25
202014,2020-03-30,35,1233,189,10.00387,103,41,0.0835,12325232,-70,-28,-60,-64,-57,25
202013,2020-03-27,32,1044,145,8.47043,62,9,0.0594,12325232,-73,-24,-56,-64,-57,28
202013,2020-03-26,31,899,177,7.29398,53,9,0.059,12325232,-74,-25,-60,-66,-59,27
202013,2020-03-25,30,722,416,5.8579,44,35,0.0609,12325232,-75,-28,-64,-66,-60,28
202012,2020-03-20,25,306,47,2.48271,9,4,0.0294,12325232,-54,4,-35,-42,-29,17
202012,2020-03-19,24,259,45,2.10138,5,2,0.0193,12325232,-36,16,-31,-34,-21,12
202012,2020-03-18,23,214,58,1.73628,3,2,0.014,12325232,-31,13,-24,-27,-13,9
202012,2020-03-17,22,156,11,1.2657,1,1,0.0064,12325232,-24,10,-27,-21,-6,7
202012,2020-03-16,21,145,83,1.17645,0,0,0,12325232,-15,9,-15,-8,3,3
202011,2020-03-14,19,62,18,0.50303,0,0,0,12325232,-2,15,7,2,6,1
202011,2020-03-12,17,44,15,0.35699,0,0,0,12325232,3,12,10,13,14,-2
202011,2020-03-11,16,29,11,0.23529,0,0,0,12325232,2,6,6,12,14,-2
202011,2020-03-10,15,18,3,0.14604,0,0,0,12325232,3,6,-1,11,15,-2
202011,2020-03-09,14,15,0,0.1217,0,0,0,12325232,3,9,2,14,16,-2
202011,2020-03-08,13,15,3,0.1217,0,0,0,12325232,6,13,26,6,2,1
202010,2020-03-07,12,12,6,0.09736,0,0,0,12325232,16,20,19,16,8,-1
202010,2020-03-05,10,6,3,0.04868,0,0,0,12325232,5,12,9,14,15,-2
202010,2020-03-04,9,3,1,0.02434,0,0,0,12325232,-1,5,-2,10,14,-2
202010,2020-03-03,8,2,0,0.01623,0,0,0,12325232,-3,4,-11,8,12,-1
202010,2020-03-02,7,2,0,0.01623,0,0,0,12325232,-4,1,-18,10,15,-1
202010,2020-03-01,6,2,0,0.01623,0,0,0,12325232,0,11,14,-2,0,4
202009,2020-02-29,5,2,0,0.01623,0,0,0,12325232,7,13,13,6,6,2
202009,2020-02-28,4,2,1,0.01623,0,0,0,12325232,-2,7,-7,7,14,0
202009,2020-02-27,3,1,0,0.00811,0,0,0,12325232,-6,9,-12,5,10,1
202009,2020-02-26,2,1,0,0.00811,0,0,0,12325232,-23,-7,-39,-19,-15,7
202009,2020-02-25,1,1,1,0.00811,0,0,0,12325232,-34,-25,17,-46,-66,14
